                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.71948,                 1.0334,                0.95219,                0.91218,                0.99764,                  0.995,                0.81174,                0.64075,                0.41416,                0.91241,             0.00020326,             0.00020326,             0.00020326
                     86,                0.70941,                 1.0179,                0.94517,                  0.914,                0.99034,                  0.995,                0.80882,                0.66451,                0.42815,                0.90522,             0.00020155,             0.00020155,             0.00020155
                     87,                0.72242,                 1.0151,                0.96412,                0.82862,                      1,                  0.995,                0.81039,                  0.696,                0.43836,                0.91862,             0.00019984,             0.00019984,             0.00019984
                     88,                0.67233,                0.96928,                 0.9377,                0.80038,                      1,                  0.995,                0.83604,                0.67897,                0.45963,                0.90952,             0.00019813,             0.00019813,             0.00019813
                     89,                 0.6947,                0.92655,                  0.927,                0.86401,                0.99672,                  0.995,                0.83957,                0.62016,                0.43568,                0.88652,             0.00019643,             0.00019643,             0.00019643
                     90,                0.69103,                0.98286,                0.95789,                0.90526,                0.99143,                  0.995,                 0.8197,                0.64173,                0.41481,                0.89427,             0.00019472,             0.00019472,             0.00019472
                     91,                0.69958,                0.98062,                0.95777,                0.92903,                 0.9903,                  0.995,                 0.8056,                0.63365,                0.41018,                0.89684,             0.00019301,             0.00019301,             0.00019301
                     92,                0.72009,                 0.9843,                0.95083,                 0.9415,                0.97824,                  0.995,                0.80891,                0.59947,                0.41285,                0.89365,              0.0001913,              0.0001913,              0.0001913
                     93,                0.66805,                0.96114,                0.93126,                0.91788,                0.97695,                  0.995,                0.80987,                0.61663,                 0.4025,                0.90241,             0.00018959,             0.00018959,             0.00018959
                     94,                0.69659,                0.93606,                0.94007,                0.94056,                0.98153,                  0.995,                0.80555,                0.62902,                0.41699,                0.90222,             0.00018789,             0.00018789,             0.00018789
                     95,                 0.6715,                 1.0126,                 0.9629,                0.94373,                0.98666,                  0.995,                0.82547,                0.59429,                0.41519,                0.88897,             0.00018618,             0.00018618,             0.00018618
                     96,                0.64153,                0.94388,                 0.9517,                0.94988,                0.98481,                  0.995,                0.82002,                0.58795,                0.41311,                0.88278,             0.00018447,             0.00018447,             0.00018447
                     97,                0.63108,                0.93182,                0.92278,                0.87804,                0.99951,                  0.995,                0.81321,                0.58708,                 0.4074,                0.89115,             0.00018276,             0.00018276,             0.00018276
                     98,                 0.6761,                0.91013,                0.93316,                0.84026,                      1,                  0.995,                0.83414,                0.57101,                0.41239,                0.89718,             0.00018106,             0.00018106,             0.00018106
                     99,                0.67843,                0.89051,                0.92843,                0.82125,                 0.9977,                  0.995,                0.84256,                0.57517,                0.42007,                0.90292,             0.00017935,             0.00017935,             0.00017935
                    100,                0.66036,                0.89593,                 0.9292,                0.83689,                0.99806,                  0.995,                  0.821,                0.58675,                 0.4153,                0.90343,             0.00017764,             0.00017764,             0.00017764
                    101,                0.63135,                0.90581,                0.92187,                0.87645,                      1,                  0.995,                 0.8197,                0.60004,                0.41516,                  0.904,             0.00017593,             0.00017593,             0.00017593
                    102,                0.67567,                0.91512,                0.92702,                0.91073,                0.99496,                  0.995,                0.81094,                0.62515,                0.41802,                0.90764,             0.00017422,             0.00017422,             0.00017422
                    103,                0.67911,                0.93379,                0.94179,                0.94525,                0.98208,                  0.995,                0.83829,                0.58826,                0.40903,                0.88881,             0.00017252,             0.00017252,             0.00017252
                    104,                0.68916,                0.95072,                0.94671,                0.93455,                0.97785,                  0.995,                0.83718,                0.59155,                0.40855,                0.88746,             0.00017081,             0.00017081,             0.00017081
                    105,                0.66281,                 0.9007,                0.92253,                0.95159,                0.97966,                  0.995,                0.84142,                 0.6016,                0.40065,                0.89838,              0.0001691,              0.0001691,              0.0001691
                    106,                0.69182,                0.92321,                0.92762,                0.92607,                0.98978,                  0.995,                0.84627,                 0.5683,                0.39226,                0.88841,             0.00016739,             0.00016739,             0.00016739
                    107,                0.62483,                0.86582,                0.91505,                0.94386,                0.98932,                  0.995,                0.84135,                0.59873,                0.39508,                0.90361,             0.00016569,             0.00016569,             0.00016569
                    108,                 0.6778,                0.84436,                0.92519,                 0.9526,                0.98873,                  0.995,                0.82153,                0.63208,                0.39203,                0.90086,             0.00016398,             0.00016398,             0.00016398
                    109,                0.65463,                0.87758,                0.93182,                0.92866,                0.99122,                  0.995,                0.83123,                0.61988,                0.40116,                0.90854,             0.00016227,             0.00016227,             0.00016227
                    110,                0.69115,                0.86481,                0.92703,                0.87098,                0.99632,                  0.995,                0.83447,                0.59544,                0.39927,                0.89485,             0.00016056,             0.00016056,             0.00016056
                    111,                0.64013,                0.85417,                0.92088,                0.88726,                0.99348,                  0.995,                0.83868,                0.59224,                 0.3959,                 0.8934,             0.00015886,             0.00015886,             0.00015886
